front,profit,time
0,1097682.0,6559.794560781072
1,1097682.0,6852.068001149718
2,1097682.0,6927.626240875684
3,1097682.0,6938.490532073829
3,1092860.0,6929.550480383181
4,1097682.0,6972.5531536969675
4,1097682.0,6972.5531536969675
5,1097682.0,7024.348709902944
6,1097682.0,7037.77554674768
7,1097682.0,7079.489909914759
7,1097682.0,7079.489909914759
7,1097682.0,7079.489909914759
8,1097682.0,7096.765818692656
9,1097682.0,7097.612251791502
10,1097682.0,7110.17250605411
11,1097682.0,7112.305820305865
12,1097682.0,7124.832068339743
13,1097682.0,7133.109528423835
13,1094012.0,7126.1594404280495
14,1097682.0,7177.1475906310225
14,1095514.0,7140.428271632742
15,1097682.0,7184.310772072833
16,1097682.0,7186.598044896045
17,1097682.0,7233.112593674902
17,1092512.0,7212.564558407362
18,1097682.0,7237.120369187807
18,1097682.0,7237.120369187807
19,1097682.0,7237.909164163064
20,1097682.0,7241.190134507688
21,1097682.0,7257.4666855339765
22,1097682.0,7258.755214315528
23,1097682.0,7284.02155664347
24,1097682.0,7309.683578042077
25,1097682.0,7332.674711364046
26,1097682.0,7333.6979315746
27,1097682.0,7335.772307857715
28,1097682.0,7339.525580110187
28,1097682.0,7339.525580110187
29,1097682.0,7343.111877354767
30,1097682.0,7344.746310896068
31,1097682.0,7347.500851123284
31,1097682.0,7347.500851123284
32,1095761.0,7349.838713189168
32,1097682.0,7351.06601506636
33,666116.0,7351.642697584133
33,1097682.0,7370.828591138407
34,1097682.0,7379.3260816345555
35,1097682.0,7389.078738669002
36,1097682.0,7400.3530021486495
36,880425.0,7389.803038798213
37,1097682.0,7409.553638895668
38,1097682.0,7417.710777930727
39,1097682.0,7423.500150892381
40,1097682.0,7424.3154533306615
40,1097682.0,7424.3154533306615
40,1097682.0,7424.3154533306615
41,1097682.0,7438.113865592392
42,1097682.0,7440.415137921944
43,1097682.0,7440.557059355328
44,1097682.0,7456.082788542877
45,1097682.0,7471.651581297854
45,1095597.0,7463.874996422103
46,1097682.0,7477.789940117696
47,1097682.0,7493.345255647857
48,1097682.0,7496.683439675191
49,1097682.0,7498.861468604786
50,1097682.0,7515.048268933945
50,639486.0,7513.32723488036
50,1097682.0,7515.048268933945
51,1097682.0,7518.589023265882
51,1097682.0,7518.589023265882
52,1097682.0,7525.0733569671565
53,1097682.0,7529.733982935376
54,1097682.0,7531.478254104672
55,1095179.0,7549.590941534994
55,1095983.0,7556.697526419765
55,1097682.0,7559.030427261901
55,989624.0,7535.67369514144
56,1097682.0,7559.657569354273
56,878291.0,7535.731194170557
57,1097682.0,7565.1762738629695
58,1097682.0,7588.850864825411
59,1097682.0,7598.319004660135
60,1097682.0,7600.290587601833
61,1097682.0,7603.06810064799
62,1097682.0,7623.323046651535
62,655444.0,7615.481396818111
63,1097682.0,7627.195403935539
64,1097682.0,7659.827030868587
64,1096932.0,7659.296080751271
65,1097682.0,7660.42891751084
66,1097682.0,7661.925678876547
67,1097682.0,7667.304943233539
68,1096182.0,7681.57140054694
68,1097682.0,7690.004095364344
69,1097682.0,7692.214969138479
70,1097682.0,7693.479006679221
71,1097682.0,7731.27314580342
72,1097682.0,7737.4044299507
72,1094742.0,7732.096064750753
